ID,technology,source,source_type,year,type,country,capacity_definition,comment,capacity,energy_source_level_0,energy_source_level_1,energy_source_level_2,energy_source_level_3,technology_level
22,"Fossil fuels",DEA,Ministry,2013,"Installed capacity in MW",DK,Unknown,,7836.45,0,1,0,0,0
23,"Fossil fuels",DEA,Ministry,2014,"Installed capacity in MW",DK,Unknown,,7579.72,0,1,0,0,0
24,"Fossil fuels",DEA,Ministry,2015,"Installed capacity in MW",DK,Unknown,,7526,0,1,0,0,0
25,"Fossil fuels",DEA,Ministry,2016,"Installed capacity in MW",DK,Unknown,,7527,0,1,0,0,0
26,"Fossil fuels",DEA,Ministry,2017,"Installed capacity in MW",DK,Unknown,,7284,0,1,0,0,0
27,"Fossil fuels",DEA,Ministry,2018,"Installed capacity in MW",DK,Unknown,,7306,0,1,0,0,0
372,"Differently categorized fossil fuels",DEA,Ministry,2013,"Installed capacity in MW",DK,Unknown,,7836.45,0,0,1,1,1
373,"Differently categorized fossil fuels",DEA,Ministry,2014,"Installed capacity in MW",DK,Unknown,,7579.72,0,0,1,1,1
374,"Differently categorized fossil fuels",DEA,Ministry,2015,"Installed capacity in MW",DK,Unknown,,7526,0,0,1,1,1
375,"Differently categorized fossil fuels",DEA,Ministry,2016,"Installed capacity in MW",DK,Unknown,,7527,0,0,1,1,1
376,"Differently categorized fossil fuels",DEA,Ministry,2017,"Installed capacity in MW",DK,Unknown,,7284,0,0,1,1,1
377,"Differently categorized fossil fuels",DEA,Ministry,2018,"Installed capacity in MW",DK,Unknown,,7306,0,0,1,1,1
481,Nuclear,DEA,Ministry,2013,"Installed capacity in MW",DK,Unknown,,0,0,1,1,1,1
482,Nuclear,DEA,Ministry,2014,"Installed capacity in MW",DK,Unknown,,0,0,1,1,1,1
483,Nuclear,DEA,Ministry,2015,"Installed capacity in MW",DK,Unknown,,0,0,1,1,1,1
484,Nuclear,DEA,Ministry,2016,"Installed capacity in MW",DK,Unknown,,0,0,1,1,1,1
485,Nuclear,DEA,Ministry,2017,"Installed capacity in MW",DK,Unknown,,0,0,1,1,1,1
486,Nuclear,DEA,Ministry,2018,"Installed capacity in MW",DK,Unknown,,0,0,1,1,1,1
614,"Renewable energy sources",DEA,Ministry,2013,"Installed capacity in MW",DK,Unknown,,5399.34,0,1,0,0,0
615,"Renewable energy sources",DEA,Ministry,2014,"Installed capacity in MW",DK,Unknown,,5502.82,0,1,0,0,0
616,"Renewable energy sources",DEA,Ministry,2015,"Installed capacity in MW",DK,Unknown,,5865,0,1,0,0,0
617,"Renewable energy sources",DEA,Ministry,2016,"Installed capacity in MW",DK,Unknown,,6105,0,1,0,0,0
618,"Renewable energy sources",DEA,Ministry,2017,"Installed capacity in MW",DK,Unknown,,6437,0,1,0,0,0
619,"Renewable energy sources",DEA,Ministry,2018,"Installed capacity in MW",DK,Unknown,,7128,0,1,0,0,0
745,Hydro,DEA,Ministry,2013,"Installed capacity in MW",DK,Unknown,,8.73,0,0,1,1,0
746,Hydro,DEA,Ministry,2014,"Installed capacity in MW",DK,Unknown,,8.62,0,0,1,1,0
747,Hydro,DEA,Ministry,2015,"Installed capacity in MW",DK,Unknown,,7,0,0,1,1,0
748,Hydro,DEA,Ministry,2016,"Installed capacity in MW",DK,Unknown,,9,0,0,1,1,0
749,Hydro,DEA,Ministry,2017,"Installed capacity in MW",DK,Unknown,,9,0,0,1,1,0
750,Hydro,DEA,Ministry,2018,"Installed capacity in MW",DK,Unknown,,9,0,0,1,1,0
934,"Differently categorized hydro",DEA,Ministry,2013,"Installed capacity in MW",DK,Unknown,,8.73,0,0,0,0,1
935,"Differently categorized hydro",DEA,Ministry,2014,"Installed capacity in MW",DK,Unknown,,8.62,0,0,0,0,1
936,"Differently categorized hydro",DEA,Ministry,2015,"Installed capacity in MW",DK,Unknown,,7,0,0,0,0,1
937,"Differently categorized hydro",DEA,Ministry,2016,"Installed capacity in MW",DK,Unknown,,9,0,0,0,0,1
938,"Differently categorized hydro",DEA,Ministry,2017,"Installed capacity in MW",DK,Unknown,,9,0,0,0,0,1
939,"Differently categorized hydro",DEA,Ministry,2018,"Installed capacity in MW",DK,Unknown,,9,0,0,0,0,1
1053,Wind,DEA,Ministry,2013,"Installed capacity in MW",DK,Unknown,,4819.81,0,0,1,1,0
1054,Wind,DEA,Ministry,2014,"Installed capacity in MW",DK,Unknown,,4887.51,0,0,1,1,0
1055,Wind,DEA,Ministry,2015,"Installed capacity in MW",DK,Unknown,,5076,0,0,1,1,0
1056,Wind,DEA,Ministry,2016,"Installed capacity in MW",DK,Unknown,,5245,0,0,1,1,0
1057,Wind,DEA,Ministry,2017,"Installed capacity in MW",DK,Unknown,,5490,0,0,1,1,0
1058,Wind,DEA,Ministry,2018,"Installed capacity in MW",DK,Unknown,,6121,0,0,1,1,0
1173,Onshore,DEA,Ministry,2015,"Installed capacity in MW",DK,Unknown,,3805,0,0,0,0,1
1174,Onshore,DEA,Ministry,2016,"Installed capacity in MW",DK,Unknown,,3974,0,0,0,0,1
1175,Onshore,DEA,Ministry,2017,"Installed capacity in MW",DK,Unknown,,4226,0,0,0,0,1
1176,Onshore,DEA,Ministry,2018,"Installed capacity in MW",DK,Unknown,,4420,0,0,0,0,1
1194,Offshore,DEA,Ministry,2015,"Installed capacity in MW",DK,Unknown,,1271,0,0,0,0,1
1195,Offshore,DEA,Ministry,2016,"Installed capacity in MW",DK,Unknown,,1271,0,0,0,0,1
1196,Offshore,DEA,Ministry,2017,"Installed capacity in MW",DK,Unknown,,1297,0,0,0,0,1
1197,Offshore,DEA,Ministry,2018,"Installed capacity in MW",DK,Unknown,,1701,0,0,0,0,1
1217,"Differently categorized wind",DEA,Ministry,2013,"Installed capacity in MW",DK,Unknown,,4819.81,0,0,0,0,1
1218,"Differently categorized wind",DEA,Ministry,2014,"Installed capacity in MW",DK,Unknown,,4887.51,0,0,0,0,1
1322,Solar,DEA,Ministry,2013,"Installed capacity in MW",DK,Unknown,,570.8,0,0,1,1,0
1323,Solar,DEA,Ministry,2014,"Installed capacity in MW",DK,Unknown,,606.69,0,0,1,1,0
1324,Solar,DEA,Ministry,2015,"Installed capacity in MW",DK,Unknown,,782,0,0,1,1,0
1325,Solar,DEA,Ministry,2016,"Installed capacity in MW",DK,Unknown,,851,0,0,1,1,0
1326,Solar,DEA,Ministry,2017,"Installed capacity in MW",DK,Unknown,,906,0,0,1,1,0
1327,Solar,DEA,Ministry,2018,"Installed capacity in MW",DK,Unknown,,998,0,0,1,1,0
1448,"Differently categorized solar",DEA,Ministry,2013,"Installed capacity in MW",DK,Unknown,,570.8,0,0,0,0,1
1449,"Differently categorized solar",DEA,Ministry,2014,"Installed capacity in MW",DK,Unknown,,606.69,0,0,0,0,1
1450,"Differently categorized solar",DEA,Ministry,2015,"Installed capacity in MW",DK,Unknown,,782,0,0,0,0,1
1451,"Differently categorized solar",DEA,Ministry,2016,"Installed capacity in MW",DK,Unknown,,851,0,0,0,0,1
1452,"Differently categorized solar",DEA,Ministry,2017,"Installed capacity in MW",DK,Unknown,,906,0,0,0,0,1
1453,"Differently categorized solar",DEA,Ministry,2018,"Installed capacity in MW",DK,Unknown,,998,0,0,0,0,1
1732,"Other or unspecified energy sources",DEA,Ministry,2013,"Installed capacity in MW",DK,Unknown,,574.48,0,1,1,1,1
1733,"Other or unspecified energy sources",DEA,Ministry,2014,"Installed capacity in MW",DK,Unknown,,574.42,0,1,1,1,1
