Rownames,baseline,Greenfield (Bio) (60% cap),Greenfield (Bio) (70% cap),Greenfield (Bio) (80% cap),Greenfield (Bio) (90% cap),Greenfield (Bio) (100% cap),Greenfield - Storage (Bio) (60% cap),Greenfield - Storage (Bio) (70% cap),Greenfield - Storage (Bio) (80% cap),Greenfield - Storage (Bio) (90% cap),Greenfield - Storage (Bio) (100% cap),greenfield_nimby_nostorage_bio,greenfield_nimby_storage_bio,greenfield_batconstraint_nostorage_bio,greenfield_batconstraint_storage_bio,Greenfield - Storage (Bio) (10% cost increase),Greenfield - Storage (Bio) (20% cost increase),Greenfield - Storage (Bio) (30% cost increase),Greenfield - Storage (Bio) (40% cost increase),Greenfield - Storage (Bio) (50% cost increase),Greenfield - Storage (Bio) (60% cost increase),Greenfield - Storage (Bio) (70% cost increase),Greenfield - Storage (Bio) (80% cost increase),Greenfield - Storage (Bio) (90% cost increase),Greenfield - Storage (Bio) (100% cost increase),Greenfield - Storage (Bio) (110% cost increase),Greenfield - Storage (Bio) (120% cost increase),Greenfield - Storage (Bio) (130% cost increase),Greenfield - Storage (Bio) (140% cost increase),Greenfield - Storage (Bio) (150% cost increase),Greenfield - Storage (Bio) (160% cost increase),Greenfield - Storage (Bio) (170% cost increase),Greenfield - Storage (Bio) (180% cost increase),Greenfield - Storage (Bio) (190% cost increase),Greenfield - Storage (Bio) (200% cost increase),Greenfield - Storage (Bio) (210% cost increase),Greenfield (Bio) (2015,Greenfield (Bio) (2016,Greenfield (Bio) (2017,Greenfield (Bio) (2018,Greenfield (Bio) (2019,Greenfield - Storage (Bio) (2015,Greenfield - Storage (Bio) (2016,Greenfield - Storage (Bio) (2017,Greenfield - Storage (Bio) (2018,Greenfield - Storage (Bio) (2019
System costs (Euro),1.869199718693786e9,1.6032857007702672e9,1.6326239273846667e9,1.788185515374793e9,2.1385999106824572e9,2.7177925668978696e9,1.4440768991469083e9,1.4472169413388503e9,1.496339011166616e9,1.686394181774568e9,2.124103740697669e9,2.8542256157091966e9,2.249592168359147e9,2.7177925668978696e9,2.168554119104411e9,1.948807136214621e9,1.9980048012611592e9,2.033482788510918e9,2.0645673224261057e9,2.0943798244161e9,2.124103740697669e9,2.153795905280792e9,2.181918741191276e9,2.2075208913990593e9,2.2307708002231607e9,2.251851901628673e9,2.2718235818645306e9,2.2907632727466564e9,2.3085908247387137e9,2.3257234506680083e9,2.3422415563749423e9,2.3580708822885666e9,2.373163312942703e9,2.3880721615192847e9,2.4025663069593205e9,2.4164549913125496e9,2.5015155108139424e9,2.631869702327995e9,2.5704560393779798e9,2.7177925668978696e9,2.519034988318602e9,2.056032315461592e9,2.0660929968376164e9,2.0265227945909157e9,2.124103740697669e9,1.9983270549375782e9
Total energy generation (MWh),3.3589567579900004e7,3.35895675799e7,3.35895675799e7,3.35895675799e7,3.35895675799e7,3.3589567579900004e7,3.369729517595598e7,3.371331740713399e7,3.3768508004027724e7,3.3803316125866264e7,3.376613257636555e7,3.35895675799e7,3.378917911371745e7,3.3589567579900004e7,3.375906968645093e7,3.378684325532165e7,3.3771660441558376e7,3.377106111850886e7,3.376768266865565e7,3.376633464444731e7,3.376613257636555e7,3.3765671321170405e7,3.376092658027246e7,3.375609260674962e7,3.374808667842252e7,3.374367731713027e7,3.37400683303457e7,3.373542703610744e7,3.373330499341675e7,3.372996835645488e7,3.3728073415878326e7,3.372417543550362e7,3.372174947981284e7,3.372077270290132e7,3.3718082790249705e7,3.371474455891749e7,3.281932782e7,3.229651658e7,3.246836093e7,3.3589567579900004e7,3.354002022e7,3.2971348151975725e7,3.2456495444365665e7,3.2631384272310063e7,3.376613257636555e7,3.368240325805768e7
Total energy stored (MWh),0.0,0.0,0.0,0.0,0.0,0.0,2.6854486552414647e6,3.082155667623772e6,4.0168724108325383e6,4.474042769026613e6,4.337177726850164e6,0.0,4.863820509826123e6,0.0,4.191194071130815e6,4.733046003244858e6,4.426668565528938e6,4.449219327116227e6,4.378915180791724e6,4.3430052249248875e6,4.337177726850164e6,4.324601272597777e6,4.219550611650014e6,4.1095783249625694e6,3.919588226846387e6,3.813535480348209e6,3.7270309743577293e6,3.6154723706461275e6,3.5642470572564853e6,3.4834979417289314e6,3.437453279017763e6,3.3424936380536556e6,3.2833545972468085e6,3.2597776969671836e6,3.194301725643075e6,3.1137786794623956e6,0.0,0.0,0.0,0.0,0.0,3.805051371203511e6,3.945809878781345e6,3.997030710425346e6,4.337177726850164e6,3.5179616899517216e6
Curtailment (%),0.03423123346496337,0.12627548520970844,0.24087060753243072,0.3993058908691658,0.4068765877578522,0.3854583410346748,0.07985162682465496,0.09930589910549592,0.1709902130348112,0.30209550449768463,0.2774569716153388,0.31292712546975565,0.19067300157140243,0.3854583410346748,0.2907320625933214,0.2780081610850502,0.28910232960350146,0.2799109531895718,0.2807984174241015,0.27883559647437406,0.2774569716153388,0.2757984060821542,0.2823713376612137,0.28537940440107545,0.29770029884564286,0.30105781330961545,0.30774404633580665,0.3137545238091467,0.3163300277335491,0.3202302842289102,0.32216906067556295,0.3259953423672052,0.3283607728640192,0.32962690187543564,0.3319745049817716,0.3348804703016117,0.4140886041976295,0.3997020087547821,0.40549358435295,0.3854583410346748,0.41424984829434397,0.31225486566103433,0.32840291068069905,0.36110333212266543,0.2774569716153388,0.35070224540972483
Installed capacity for WindOffshore (MW),1700.800000000042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,4535.025249166975,3557.6966886023483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Installed capacity for WindOnshore (MW),4422.6,7511.379842301679,10695.754552753924,16145.247839927239,16444.256559766764,15649.426868408988,6363.355113675089,7027.680845299183,9210.977998856202,12573.506252344443,12672.762752876704,6074.576999999999,6074.576999999999,15649.426868408988,12394.905863050126,14775.394425534896,14105.993520518357,12904.420841908135,12583.153757233795,12666.383390516941,12672.762752876704,12680.966784092803,12518.29878029954,12454.170757740938,12615.928906139463,12661.377662053172,12716.558950661578,12711.697244087549,12709.743877379742,12706.872008737042,12705.60723572324,12703.230152180684,12701.774265666281,12699.842523964562,12635.035557325029,12610.648095907063,14296.354333226736,15274.197384066587,15074.509803921568,15649.426868408988,17172.372561359345,10761.654135338345,12723.357396344314,14641.796875,12672.762752876704,14553.567136536481
Installed capacity for Solar (MW),1000.1,7123.712374581939,8332.503313856645,10623.72541586643,10786.977648202137,10268.178941749049,10517.3950676082,11135.106037588916,12897.035708490415,16309.899444461613,14593.517471418763,11180.069518216835,13010.518,10268.178941749049,15743.658413176938,11819.384167812446,13245.401221322489,14580.010912482025,15019.050463200436,14703.83188402744,14593.517471418763,14451.650175976336,15015.260320563299,15164.742228529221,15469.627579205104,15469.76422912481,15716.188976758287,15969.499129020845,16071.32492318559,16221.007908699708,16286.125440465286,16408.298289909533,16483.12156260724,16538.377779881892,16694.224085680366,16806.73409409312,9471.066018924359,10554.162988312402,9554.770373265586,10268.178941749049,9161.619848580202,15726.884441195842,16406.947522463783,14614.98931335512,14593.517471418763,15097.751196172248
Installed capacity for Coal (MW),3656.4,3334.8768558450706,3075.3183053027183,2690.647776261937,1631.926119866878,0.0,3074.8156648250742,2972.619992414011,2534.982105443001,1771.4791818291171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Installed capacity for NaturalGas (MW),1829.0,2940.1565231897134,2801.5955323170942,2743.2411914506592,2759.068379008745,0.0,809.4776590578599,797.3401992325613,871.1106243705696,903.685423287696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Installed capacity for Bio (MW),1355.915,0.0,0.0,0.0,1040.4425973342884,5437.954699679046,0.0,0.0,0.0,121.97390397821945,2632.907994562572,5431.663496440578,2626.739593825771,5437.954699679046,2876.9869460173177,2071.0991447153856,2334.6371825717474,2539.783582523708,2631.2399359669103,2631.2394645614036,2632.907994562572,2635.053768927256,2767.671592996931,2871.3219691003683,2964.4775302687553,3017.582842387544,3053.0844339116647,3105.8030917559404,3126.825672534648,3157.81979503779,3174.5123574305358,3206.690891466045,3226.412962505039,3234.943396327228,3260.488047542481,3291.5078489276552,5437.766770067156,5186.376373365042,5331.463529411765,5437.954699679046,4905.872278162366,3605.429634628757,2557.3824826702307,2533.632915990136,2632.907994562572,2488.0945422183477
